2024-06-20 13:37:58

Description 
===========





IV Curve
========

Abbreviation: BC = Bias Current (muA), BV = Bias Voltage (V), C = Counts, IT = Integration Time (ms)
Detector number is attached to abbreviation, e.g. BV3 is the bias voltage of the third detector.

BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT

0.0	-0.001	-0.001	-0.001	-0.002	0.001	0.001	-0.001	-0.001	1	1	1	1	1	1	1	1	200.0
0.1	-0.001	-0.001	-0.001	-0.002	0.001	-0.001	0.001	0.001	0	0	0	0	0	0	0	0	200.0
0.2	-0.001	-0.001	-0.001	-0.002	-0.001	0.001	0.001	-0.001	0	0	0	0	0	0	0	0	200.0
0.3	-0.001	-0.001	-0.001	0.001	-0.001	-0.001	-0.001	0.001	0	0	0	0	0	0	0	0	200.0
0.4	-0.001	-0.001	-0.001	-0.002	-0.002	-0.002	-0.002	-0.002	0	0	0	0	0	0	0	0	200.0
0.5	-0.001	0.002	0.002	0.001	-0.001	-0.001	-0.001	0.001	0	0	0	0	0	0	0	0	200.0
0.6	0.002	0.0	-0.0	-0.001	-0.002	0.001	0.001	0.001	0	0	0	0	0	0	0	0	200.0
0.7	0.0	0.002	-0.0	-0.001	-0.001	-0.003	-0.001	-0.001	0	0	0	0	0	0	0	0	200.0
0.8	-0.001	0.002	-0.001	0.001	-0.001	-0.001	0.001	0.001	0	0	0	0	0	0	0	0	200.0
0.9	0.002	-0.001	0.002	-0.002	0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	200.0
1.0	0.002	-0.001	0.002	-0.002	0.002	0.0	0.002	0.0	0	0	0	0	0	0	0	0	200.0
1.1	0.0	0.002	-0.0	0.001	0.004	-0.001	0.001	0.001	0	0	0	0	0	0	0	0	200.0
1.2	0.002	0.002	-0.001	0.003	-0.001	0.004	-0.001	-0.001	0	0	0	0	0	0	0	0	200.0
1.3	0.002	0.002	-0.001	-0.002	-0.001	-0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	200.0
1.4	-0.001	-0.001	0.002	0.001	0.001	-0.001	0.001	0.001	0	0	0	0	0	0	0	0	200.0
1.5	-0.001	-0.001	0.002	-0.002	-0.001	0.001	0.001	-0.001	0	0	0	0	0	0	0	0	200.0
1.6	-0.001	-0.001	0.002	-0.002	0.001	0.001	0.001	-0.001	0	0	0	0	0	0	0	0	200.0
1.7	0.002	0.002	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	200.0
1.8	-0.001	-0.001	-0.001	-0.002	0.001	-0.001	-0.001	-0.003	0	0	0	0	0	0	0	0	200.0
1.9	0.0	0.0	-0.0	0.001	-0.0	-0.002	-0.002	0.0	0	0	0	0	0	0	0	0	200.0
2.0	0.0	0.0	-0.0	-0.001	-0.001	-0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	200.0
2.1	0.002	0.002	-0.001	-0.002	-0.001	-0.001	-0.001	0.001	0	0	0	0	0	0	0	0	200.0
2.2	0.0	0.0	0.002	-0.001	0.001	-0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	200.0
2.3	0.002	-0.001	-0.001	0.001	0.001	0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	200.0
2.4	-0.001	-0.001	0.002	0.001	0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	200.0
2.5	0.0	0.0	-0.0	0.001	-0.002	-0.002	-0.002	0.001	0	0	0	0	0	0	0	0	200.0
2.6	-0.001	0.002	-0.001	0.001	-0.003	0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	200.0
2.7	0.001	-0.001	-0.001	0.0	-0.001	-0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	200.0
2.8	0.0	0.002	-0.0	-0.001	-0.001	-0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	200.0
